commit date git,commit sha,jira_id,affected versions,fixed version
2014-10-30T15:45:55Z,8fc6e9e542266dbdcf04d8db5bcbbe6ea7d9385e,SYNCOPE-576,[1.2.0],[1.2.1  2.0.0-M1],2014-10-23T08:17:52.000+0000
2014-10-22T20:02:35Z,4e29d42fd4d0f6b9dbc623527164b0d373216d53,SYNCOPE-574,[1.2.0  2.0.0-M1],[1.2.1  2.0.0-M1],2014-10-20T15:21:03.000+0000
2014-10-31T10:32:51Z,9329c54fd62180df3727a4f72bbddd41c9fa1b50,SYNCOPE-572,[1.2.0],[1.2.1  2.0.0-M1],2014-10-20T10:03:44.000+0000
2014-10-22T15:54:44Z,ad6f31b29bb59d717262932b4ba0712684bb496a,SYNCOPE-571,[1.2.0],[1.2.1  2.0.0-M1],2014-10-20T09:31:57.000+0000
2014-10-17T09:25:49Z,abfb80507484e0de6815a04e4a84e9e060888b72,SYNCOPE-569,[1.2.0],[1.2.1  2.0.0-M1],2014-10-16T13:03:36.000+0000
2014-10-17T12:03:38Z,2820eb2544e2bb31bcd623847a2aac746f8dfae6,SYNCOPE-568,[1.1.8  1.2.0],[1.1.9  1.2.1  2.0.0-M1],2014-10-16T12:46:02.000+0000
2014-10-17T10:03:14Z,9cddacdf1a985806f1ee7cef6b93fa7144b93548,SYNCOPE-568,[1.1.8  1.2.0],[1.1.9  1.2.1  2.0.0-M1],2014-10-16T12:46:02.000+0000
2014-10-17T10:01:54Z,6bbfc329759404bb2774280acafe6073d4167ed5,SYNCOPE-568,[1.1.8  1.2.0],[1.1.9  1.2.1  2.0.0-M1],2014-10-16T12:46:02.000+0000
2014-10-17T10:07:50Z,f99657a2a66abfd68c115d9c1b083dc9b86a3105,SYNCOPE-567,[1.2.0],[1.2.1  2.0.0-M1],2014-10-15T14:39:39.000+0000
2014-10-16T07:20:10Z,05eb51deb03130506f9b96358b6ee564e8d93957,SYNCOPE-566,[1.2.0],[1.2.1  2.0.0-M1],2014-10-15T11:20:07.000+0000
2014-10-16T07:19:25Z,14b9753b5853da28d0f74617dc94cc5eec4497cc,SYNCOPE-566,[1.2.0],[1.2.1  2.0.0-M1],2014-10-15T11:20:07.000+0000
2014-10-14T13:14:57Z,f7d2058876237027edb5e34b9f2512796448d7cd,SYNCOPE-565,[1.2.0],[1.2.1  2.0.0-M1],2014-10-13T11:39:25.000+0000
2014-10-14T13:12:40Z,8d41124a4a4185d2c1b3c77ac1368e78fc760577,SYNCOPE-565,[1.2.0],[1.2.1  2.0.0-M1],2014-10-13T11:39:25.000+0000
2014-10-23T15:58:56Z,7c714f31c2367a899454b21b121377da5a5874cb,SYNCOPE-564,[1.2.0],[1.2.1  2.0.0-M1],2014-10-11T12:05:27.000+0000
2014-10-09T09:49:24Z,3400ae9c746b2c6678e9dbfa5bd9ddb509d49dad,SYNCOPE-562,[1.2.0],[1.2.1  2.0.0-M1],2014-10-08T08:04:45.000+0000
2014-10-09T09:48:42Z,2d05ff5bacca2c95463ecf5d0752f94665503b5f,SYNCOPE-562,[1.2.0],[1.2.1  2.0.0-M1],2014-10-08T08:04:45.000+0000
2014-10-07T09:40:27Z,1f9af45636a7b2b147d82b9acb374340a9f694ec,SYNCOPE-561,[1.2.0],[1.2.1  2.0.0-M1],2014-10-07T09:02:17.000+0000
2014-10-07T09:39:34Z,e078b845e82a0b3b9a4a91748ca3b6bbadc47cc4,SYNCOPE-561,[1.2.0],[1.2.1  2.0.0-M1],2014-10-07T09:02:17.000+0000
2014-10-07T08:35:25Z,36425c3974541f8c4b5a6398e272e55ffc638c3b,SYNCOPE-560,[1.2.0],[1.2.1  2.0.0-M1],2014-10-07T08:19:36.000+0000
2014-10-07T08:34:47Z,b8715c76ae4c59847a59d52faef9b8c2e3be4a4d,SYNCOPE-560,[1.2.0],[1.2.1  2.0.0-M1],2014-10-07T08:19:36.000+0000
2014-10-07T08:14:11Z,421a4e01a311343dd43ee41d81fdcdf7cdd36104,SYNCOPE-557,[1.2.0-M1],[1.2.1  2.0.0-M1],2014-10-03T15:52:41.000+0000
2014-10-03T15:53:51Z,8ac72fadc5a47246a9f1fc7d231e36d116698b20,SYNCOPE-557,[1.2.0-M1],[1.2.1  2.0.0-M1],2014-10-03T15:52:41.000+0000
2014-10-02T18:36:43Z,67a56d0a76d99301c10180ec4d0e08c263b976b0,SYNCOPE-556,[1.2.0-M1],[1.2.0  2.0.0-M1],2014-10-02T10:23:33.000+0000
2014-10-02T15:53:00Z,4353bd397c2f41f7d1302b64e39b0c2a58f92ac8,SYNCOPE-556,[1.2.0-M1],[1.2.0  2.0.0-M1],2014-10-02T10:23:33.000+0000
2014-09-29T14:25:40Z,ce54c5975d93d896668c45a9315dcd24f22638da,SYNCOPE-553,[1.2.0-M1],[1.2.0  2.0.0-M1],2014-09-29T06:59:48.000+0000
2014-09-29T14:19:38Z,8c7ccb6dce5d4a1cb7729716b0a44acaae25b013,SYNCOPE-553,[1.2.0-M1],[1.2.0  2.0.0-M1],2014-09-29T06:59:48.000+0000
2014-09-23T14:32:49Z,35219f85e88dc597ed1accca9d410c9f8a4de29e,SYNCOPE-551,[1.2.0-M1],[1.2.0  2.0.0-M1],2014-09-23T14:30:43.000+0000
2014-09-23T14:32:02Z,e18fe26f8830d6c4709671369a2d97213b095690,SYNCOPE-551,[1.2.0-M1],[1.2.0  2.0.0-M1],2014-09-23T14:30:43.000+0000
2014-09-16T15:35:05Z,0edddeafc46e7e52d85685a2f2486b0d9a95ab1f,SYNCOPE-549,[1.2.0-M1],[1.2.0  2.0.0-M1],2014-09-16T15:30:43.000+0000
2014-09-16T15:33:34Z,5f9f13650187b5e89f2f848f06c6fb4b434d876f,SYNCOPE-549,[1.2.0-M1],[1.2.0  2.0.0-M1],2014-09-16T15:30:43.000+0000
2014-09-15T15:06:49Z,b818af2a107e69f9fb6404a24816b6fb9e6d7b35,SYNCOPE-548,[1.2.0-M1],[1.2.0  2.0.0-M1],2014-09-15T12:59:09.000+0000
2014-09-15T15:05:31Z,70376d1aa2937f114d8b406f06639715a0944c08,SYNCOPE-548,[1.2.0-M1],[1.2.0  2.0.0-M1],2014-09-15T12:59:09.000+0000
2014-09-15T10:23:25Z,73dad882dc2a457b3faa7a86f5839904d9aafd43,SYNCOPE-547,[1.1.8],[1.1.9  1.2.0  2.0.0-M1],2014-09-15T08:01:35.000+0000
2014-09-15T10:23:04Z,e81f7d6d364703757004349706a2f7e9a80e1b27,SYNCOPE-547,[1.1.8],[1.1.9  1.2.0  2.0.0-M1],2014-09-15T08:01:35.000+0000
